Topic,Count,Name,Representation,Representative_Docs
-1,556,-1_node_cluster_allocate_implementation,"['node', 'cluster', 'allocate', 'implementation', 'process', 'docker', 'resource', 'container', 'implement', 'configuration']","['convert yarn app cli call yarn api service yarn docker application launch cli work differently launch rest api application launch rest api currently store yarn user hdfs home directory application manage cli store individual user hdfs home directory consistency want yarn app cli interact api service manage application performance reason easy implement list application user home directory instead crawl user home directory security reason safe access user home directory instead user give reason proposal change work instead call hdfs api rm api launch container cli convert call api service rest api resides rm rm perform persist operation launch actual application', 'nm become unhealthy due local disk usage option kill application space instead release container node sometimes experience issue single application usually spark job cause least node yarn cluster become unhealthy fill local dir node past threshold node consider unhealthy happen impact potentially large depend else run node container node lose sometimes much else run node fine time lose container apps non container long running task think helpful option default false whereby node go become unhealthy due full local disk instead identify application local disk space node kill application roughly analogous oom killer linux pick process kill rather let machine crash benefit application impact application lose container prevent user poorly write code shuffle spill huge amount data negatively impact user downside kill entire application task responsible local disk usage believe necessary kill whole application instead identify container run relevant task require knowledge internal state aux service responsible shuffle yarn accord understanding seem reasonable work implementation', 'enhance yarn service model play yarn service model issue identify base past work initial issue overall cover issue solution push separate jiras state model prevents stop state enter successfully start service current lifecycle stop service unless successfully start acquire resource explicitly release operation fail partway operation release resource fix valid state transition state require implementation able stop safely without require field non null anyone point operation assume field valid call npe mapreduce show problem arise today mapreduce fix independent rest issue doc aid make execute state stop mapreduce big patch break easy review take do issue link prevent duplicate state change request check verify whether state transition allow current state perform base class yet subclasses tend call operation mean operation perform order even outcome call exception action perform subclass take place mapreduce demonstrate tricky address hadoop base class instead interface method method check invoke protected inner method possible retrofit behaviour everything extend something do class consider stable lifecycle method declare final subclass source tree fixing respective developer state change defend race condition concurrency lock state transition whatever fix wrong state call add correct prevent entrancy call thread static method choreograph lifecycle operation helper method move thing lifecycles init start common stop service null another static method execute even call raise exception go class package service wrap service help manage robust shutdown state transition failure something register service listener wish inform state transition fail throw service listener inform notification point reach wish know especially management diagnostics fix extend callback invoke final state change method class delegate inner method op exist implementation interface service listener failures handle error error log ignore desire propose exception listener catch discard increase likelihood good shutdown try catch clause state change support static listener support allow caller register listener instance exist listener interface allow management tool hook event static listener invoke state change except creation base class hand reference point static event async push share failure log warn rest listener invoke example listener management diagnostics event common log human event machine hook json logger test something tell fail service support signal service benefit way shut kill signal do via runtime hook automatic though composite service complex state shutdown well provide hook let u register unregister service terminate relevant entry point tell root service register']"
0,426,0_utilization_configuration_queue_allocation,"['utilization', 'configuration', 'queue', 'allocation', 'resource', 'capacity', 'scheduling', 'cluster', 'configure', 'allocate']","['support preemption capacity monitor tension fast pace reactive role respond quickly application resource request node update introspective base consideration observe correct capacity balance purpose opt instead hack delicate mechanism directly support preemption mean capacity monitor run optionally separate service much like capacity monitor similarly equivalent functionality fairness scheduler operate run interval every second observe state assignment resource queue capacity scheduler performs line computation determine preemption best edit current schedule improve capacity generate event produce four possible action container de reservation resource base preemption container base preemption container kill action list progressively costly policy desire achieve rebalancing goal note due lag effect action policy operate macroscopic level preempt ten container queue try tightly consistently micromanage container allocation preemption policy preemption policy design pluggable following present initial policy experiment behave follow gather scheduler state queue particular current capacity guarantee capacity pending request pending request queue capacity compute ideal balance state compute set preemption repair current schedule achieve capacity balance accounting natural completion rate respect bound amount preemption allow round select application preempt capacity queue last fifo order remove reservation recently assign app amount resource reclaim obtain reservation exit enough issue preemption container application reverse chronological order last assign container first necessary container except container leave enough move onto unreserve preempt next application container ask preempt track across execution container among preempt certain container move list container forcibly kill note moment order avoid double counting request look part pending resource request mean preempt behalf am ask specific location ideal balance state queue least guaranteed capacity spare capacity distribute among queue want weighted fair share weighting base guaranteed capacity queue function run fix point tunables observe mode log action take behave read frequently run policy long wait preemption kill container fraction container like obtain preempt natural rate container return deadzone size capacity ignore perfect balance small ignore overall amount preemption afford run policy term total cluster capacity current experiment set tunables seem good start shape preemption action properly sophisticated preemption policy take account different type application run job priority cost preemption integral capacity imbalance much control theory kind problem lesson design tune controller likely apply generality monitor base scheduler edit preemption mechanism introduce design general enforce capacity fairness fact consider monitor leverage idea schedule edits target different global property allocate enough resource guarantee deadline important job data locality optimization io balance among node note default preemption policy describe disable patch depends yarn yarn relate yarn', 'enable queue base maximum container allocation limit implement scheduler allocation mb limit overall size container apply globally container limit queue scheduler dependent goal ticket allow value set per queue basis case user pool ad hoc job enterprise apps user want limit ad hoc job small container allow enterprise apps request many resource set allocation mb set default value maximum container size queue set maximum resource per queue queue config change per review solution infrastructure already code follow setting queue property queue type parent leaf cover dynamically create queue set root override scheduler setting allow sure queue resource cap large scheduler max resource cap config implement string implement string follow expose setting queue information rm web ui expose setting metric queue enforce queue base maximum allocation limit available general scheduler level set validation normalization request app submit resource request', 'yarn capacity scheduler queue priority currently capacity scheduler every parent queue level use relative capacity child queue decide queue next available resource first example child queue configure capacity capacity configure capacity capacity situation relative capacity calculate relative capacity relative capacity example per today capacity scheduler algorithm select scheduler first receive next available order queue accord relative capacity sometimes cause trouble scarce resource assign less important apps first latency sensitivity problem latency sensitive application wait till queue get full go cut delay schedule directly reflect response time application resource fragmentation large container apps today algorithm cause issue application large container possible exist queue within resource guarantee current allocation distribution node application large container simply fit problem get bad long running application short run apps previous container eventually finish enough space apps large container long run service cluster large container application never resource node even demand yet meet long running service sometimes picky wrt placement normal batch apps example long running service separate queue say queue service peak hour want launch instance cluster node node want launch large container say memory per container']"
1,121,1_yarn_configuration_distribute_scalable,"['yarn', 'configuration', 'distribute', 'scalable', 'lifecycle', 'service', 'failover', 'hbase', 'hdfs', 'container']","['update timeline collector store domain info entity write part yarn timeline collector enable store domain information denormalized table security enable collector maintain map memory app id domain id info append entity write case collector go map repopulated part yarn', 'scalable high available timeline server yarn provide scalable reliable timeline store base hbase however single instance timeline server scalable enough handle large volume user request single bottleneck timeline server stateless machine difficult start multiple timeline server instance write hbase timeline store zookeeper register timeline server ha rms client randomly pick server publish timeline entity load balancing moreover since multiple timeline server start together actually back solve high availability problem well', 'atsv read acls update timeline collector include domain entity timeline collector update domain info entity contain putdomain call invoke first collector backend aware domain information application collector ensure appending information entity write timeline service']"
2,72,2_cluster_hadoop_runtimes_cgroups,"['cluster', 'hadoop', 'runtimes', 'cgroups', 'resource', 'node', 'runtime', 'yarn', 'nodemanager', 'hdfs']","['docker image life cycle management hdfs fork idea propose yarn manage trusted docker image hdfs yarn go focus rearrange node manager container executor logic download docker image file localization phase good error handling reporting proposal create docker container host docker registry nfs gateway configure docker image store hdfs docker container run yarn framework serve privileged trusted registry describe component require create docker image store docker image hdfs describe operation perform setup trusted docker registry write hdfs', 'yarn container phase docker container run hadoop cluster fine today hadoop release trunk code base get feedback potential customer advance feature take docker support next level frequently request feature improve cgroups support support systemd base cgorup yarn provide instruction setup cgroups fs control docker container cgroup next step support docker cgroups systemd natively reduce configuration step docker side user experience seamless disk throttle docker support io throttle several docker parameter look like good feature yarn specify io throughput stress test simulation docker volume support docker create data container fixed size useful limit disk usage container feature provide resource management data ability create docker volume anchor docker container colocate data container protection overlay network spike badly design docker container cause system become non responsive network spike occur fork uncontrollably protection maybe useful guard network flood fork bomb active prevention shutdown crashing docker container system hang docker compose support people express interest possibility consume docker compose yaml file start dock swarm like cluster yarn service rest api alignment area term support docker swarm like cluster hadoop oci runtime support deep integration runc provide standard api integration docker core engine continuation work follow yarn associate jiras', 'support docker container support docker container provide useful functionality today respect localization cgroups base resource management isolation cpu network disk well security well define mechanism execute privileged operation container executor utility bring docker support let u u functionality run docker container yarn require user admins configure different several aspect work mechanism let client request docker specific functionality initially implement via environment variable without impact client api security docker daemon well application docker image localization run docker container via container executor specify user isolate docker container term cpu network disk communicate signal running container ensure correct pid handle figure workarounds certain performance sensitive scenario like hdfs short circuit read achieve without change current behavior']"
3,66,3_cluster_throttle_maintenance_yarn,"['cluster', 'throttle', 'maintenance', 'yarn', 'node', 'framework', 'federation', 'application', 'refactoring', 'federate']","['federation internal apis federation policy store contain information capacity allocation user mapping sub cluster policy component router rms enforce', 'router federation rout rest invocation transparently multiple rms track design implementation layer rout request appropriate rm federated yarn cluster', 'router federation rout rest invocation transparently multiple rms track design implementation layer rout request appropriate rm federated yarn cluster']"
4,65,4_yarn_framework_mapreduce_configuration,"['yarn', 'framework', 'mapreduce', 'configuration', 'cluster', 'step', 'service', 'cleanup', 'rm', 'cli']","['yarn service component service restart policy never initiation service upgrade fail component never error service level upgrade command say upgrade allow otherwise permutation combination accept service level upgrade call mark component upgraded', 'yarn service upgrade support upgrade component instance yarn core support place upgrade container yarn service leverage provide place upgrade component instance yarn detail support upgrade single component instance first iteratively apis feature', 'yarn service upgrade support upgrade component yarn service upgrade provide api upgrade component']"
5,56,5_cluster_configure_config_aggregation,"['cluster', 'configure', 'config', 'aggregation', 'node', 'container', 'implement', 'hadoop', 'hdfs', 'base']","['aggregate log file combine turn log aggregation allow user easily store container log hdfs subsequently view yarn web uis central place currently separate log file node manager problem hdfs cluster many node slowly start accumulate many possibly small file per yarn application current solution problem configure yarn actually jhs automatically delete file amount improve compact per node aggregate log file log file per application', 'aggregate log file format yarn log aggregation file underlie log format aggregated log yarn see several performance issue especially large log file introduce log format good performance large log file', 'file belong first file controller remove even multiple log aggregation file controller configure log aggregation configure comma separated list file controller current behaviour remove file belong first file controller problematic example user configures ifile file controller later change file controller specify multiple file controller value tfile ifile first controller consider file belong controller remove case file write tfile controller remove file create ifile controller keep behaviour change file remove multiple file controller enable code path logdeletiontask run githublink let u understand method important bit value field call retentionmillis set constructor incoming parameter call retentionsecs multiply millisecond value let u retentionsecs come githublink set value config key value second javadoc say long wait delete aggregated log disables careful set small spam name node go back githublink cutoffmillis value compute get current millis minus main point method iterate file remote root log dir field call check directory path create particular directory code link githublink important thing mention field call suffix add remote root log dir path let u check suffix field value crucial understand log dirs delete set constructor githublink value return call create instance process determine log aggregation file controller quite messy let describe detail type file controller testcase call show configure first important configs generic config key log aggregation file controller class controller class example real world config key example real world config value generic config key log aggregation file controller remote app log dir aggregation remote app log dir example real world config key app log dir example real world config value log ifile generic config key log aggregation file controller remote app log dir suffix aggregation remote app log dir suffix example real world config key app log dir suffix example real world config value ifile config call format store comma separated list file controller example value ifile tfile let u examine contstructor githublink work iteration githublink file controller remote app log dir per file controller read config githublink example config key app log dir example real world value config log ifile specified remote app log dir null empty remote dir particular file controller fall back nm log dir log dir either specify config app log dir fall back default path tmp log logic implement githublink next remote app log dir suffix read githublink example config key app log dir suffix example real world config value ifile suffix null empty suffix try read value config key app log dir suffix specify still default prefix log tmp log ifile suffix ifile concatenate hyphen final value target app log ifile ifile todo rest method read log aggregation file controller class name initialize controller implement example config key class example value config next controller create create instance class reflection important bit initialize controller githublink initialize method implement githublink abstract base class file controller remote root log dir suffix read githublink config logic describe final step controller instance add factory controller list githublink know work read config create store file controller instance let u jump back constructor logdeletiontask file controller determine call method instance githublink method githublink quite simple return first element list multiple log aggregation file controller instantiate initialization per config always first instance return jump back step file list help abstract implementation githublink know value suffix set described detail let u method since main call loop list log dirs method githublink simple accept path parameter know directory list dirs main directory iterate dirs call githublink method githublink quite messy parameter cutoffmillis value compute get current millis minus come configuration set minute calculated minute millisecond fs abstract implementation important u right directory clean whole method anything useful directory modification mean practice dirs modify earlier retention period touch deleted app terminate list directory try remove log file log file delete modification early retention period logic githublink implement part condition githublink try delete log dir check return value true first let u check method githublink basically logic retention period base logic describe set true default set false modification date dir later timestampt define retention period conclusion check implementation log aggregation file controller instantiate configure read code logic think read parse configuration okay really bother file controller instance get create factory step multiple log aggregation file controller tfile ifile configure always th item first pick factory result incorrect behaviour controller file clean githublink method create instance schedule fixed rate help timer distinction log aggregation file controller abstraction meaning return different file controller']"
6,56,6_cluster_mapreduce_hadoop_framework,"['cluster', 'mapreduce', 'hadoop', 'framework', 'rpc', 'implement', 'endpoint', 'container', 'hdfs', 'yarn']","['hadoop yarn service api part hadoop yarn service hadoop yarn service api currently parallel project hadoop yarn service project good hadoop yarn service api part hadoop yarn service correctness', 'support web service proxy rm currently inbuilt web proxy serve request web proxy necessary security reason describe apache hadoop website web application proxy part yarn configure run standalone proxy currently rm support web service add support web service call web app proxy allow support failover retry web service change involve following support web service call rm web application proxy equivalent rpc support failover retry web application proxy refactor lot exist client code yarn client', 'umbrella simplify api layer service beyond overview doc yarn modifying copy paste relevant piece sub section track specific sub item bring service yarn today simple experience apis exist framework either low level native yarn require write code framework programmatic apis write complex spec declarative framework addition build critical building block inside yarn part effort yarn look simplify user face story building service experience project like slider building real life service like hbase storm accumulo solr give u good learning simplified apis building service look end look simple service api layer back rest interface rest layer act single point entry creation lifecycle management yarn service service range simple single component apps complex multi component application need special orchestration look make unified rest base entry point important feature like resource profile management yarn package definition lifecycle management service discovery yarn yarn flesh relation present much low level rest apis yarn yarn application submission management']"
7,55,7_nodemanager_cluster_application_restart,"['nodemanager', 'cluster', 'application', 'restart', 'retry', 'service', 'shutdown', 'manage', 'process', 'heartbeat']","['restart nm resync rm without kill container rm restart rm send resync response nms heartbeat upon receive resync response nm kill container register rm nm change kill container instead inform rm currently run container include allocation register nm send pending container completion rm usual', 'nodemanager cleanup run container shutdown currently nodemanager cleanup run container get restart cause container lose stick around forever see happen multiple time rm restart rm bring back know run cluster tell nm reboot nm reboots lose run container behave badly leave know kill try kill run container node manager shut check nodemanager bring back separate change bit rm restart implement task actually survive across rm nm reboot address point', 'nodemanager cleanup run container start currently nodemanager cleanup run container get restart cause container lose stick around forever see happen multiple time rm restart rm bring back know run cluster tell nm reboot nm reboots lose run container behave badly leave know kill kill run container nodemanager start note nm bring somehow figure container run sure kill anything note try kill run container node manager shut file change bit rm restart implement task actually survive across rm nm reboot address point']"
8,48,8_yarn_cluster_scheduler_nodel,"['yarn', 'cluster', 'scheduler', 'nodel', 'configuration', 'application', 'schedule', 'require', 'node', 'storage']","['container contain node label ask original propose non exclusive node label yarn make non label resource request allocate label node idle resource preemption work know allocated container original node label label resource request come back kill non labeled container run label node require node label container nm store information send back rm rm restart recover original container', 'side change support non exclusive node label accord design doc attach yarn implement follow logic allocate resource request node label specify preferentially allocate node without label available resource node label application follow order application queue access label ask label resource application queue access label ask non label resource application queue access label ask non label resource expose necessary information preemption policy preemption decision', 'node label manager api storage implementation include apis storage implementation node label manager abstract class manage label node cluster apis query modify node accord give label label accord give hostname remove label set label node cluster persist recover change label label node storage implementation store modification memory base storage persist change label lose rm restart base storage persist recover like hdfs label label node recover upon rm restart']"
