issue_key,issue_type,comments,description_length,lda_baseline_topic,lda_ontology_topic,bertopic_topic,dd_existence,dd_property,dd_executive
YARN-10650,Improvement,1,17,2,2,-1,True,False,False
YARN-11025,New Feature,0,49,0,4,-1,True,True,False
YARN-11005,Sub-task,0,48,1,2,0,True,False,False
YARN-11003,Sub-task,1,49,1,2,0,True,False,False
YARN-11002,New Feature,0,224,0,1,0,True,True,False
YARN-10980,Bug,1,70,2,3,-1,False,True,True
YARN-10955,Improvement,1,132,2,4,-1,True,True,False
YARN-10930,Sub-task,0,65,1,2,0,True,False,False
YARN-10928,Improvement,6,65,0,2,0,True,False,False
YARN-10899,Improvement,1,60,1,2,0,False,True,False
YARN-10898,Improvement,1,54,1,4,-1,True,False,False
YARN-10889,Improvement,0,9,0,4,0,True,False,False
YARN-10843,Task,0,18,0,4,-1,True,False,False
YARN-10835,Improvement,0,78,2,2,-1,True,False,False
YARN-10790,Sub-task,2,49,0,4,0,True,False,False
YARN-10782,Sub-task,1,20,0,4,0,True,False,False
YARN-10759,Sub-task,12,30,0,2,0,True,False,False
YARN-10758,Sub-task,1,49,0,2,0,True,False,False
YARN-10755,Improvement,1,35,2,3,0,True,False,False
YARN-10738,Improvement,10,40,0,2,0,True,True,False
YARN-10714,Sub-task,3,46,0,4,0,True,False,False
YARN-10655,Sub-task,6,58,0,2,0,False,True,False
YARN-10623,Improvement,20,37,0,4,0,True,False,False
YARN-10621,Improvement,1,171,1,4,-1,True,False,True
YARN-10617,Improvement,2,46,1,2,0,True,False,False
YARN-10598,Sub-task,6,95,0,4,0,True,False,False
YARN-10585,Sub-task,12,24,2,4,-1,True,False,False
YARN-10581,Sub-task,7,52,0,4,0,True,False,False
YARN-10579,Sub-task,7,29,0,4,0,True,False,False
YARN-10571,Sub-task,14,27,0,4,0,True,False,False
YARN-10564,Sub-task,20,44,0,4,0,True,False,False
YARN-10546,Bug,3,25,1,2,0,True,False,False
YARN-10534,New Feature,0,40,1,0,2,True,False,False
YARN-10524,Sub-task,2,81,1,2,0,True,False,False
YARN-10521,Sub-task,1,39,1,2,0,True,False,False
YARN-10514,Improvement,2,60,1,2,0,True,True,False
YARN-10512,Sub-task,16,41,0,4,0,True,False,False
YARN-10505,Sub-task,10,96,1,2,0,True,False,False
YARN-10496,New Feature,7,108,0,4,0,True,False,False
YARN-10493,Sub-task,17,17,1,0,-1,True,True,False
YARN-10478,Improvement,0,30,0,4,9,True,False,False
YARN-10473,Sub-task,0,16,2,4,-1,True,False,False
YARN-10449,Bug,1,57,0,1,-1,True,False,False
YARN-10436,Sub-task,0,38,2,3,-1,True,False,False
YARN-10433,Sub-task,1,58,2,3,5,True,False,False
YARN-10432,Sub-task,0,47,2,3,-1,True,False,False
YARN-10431,New Feature,3,45,1,4,0,True,True,False
YARN-10422,Sub-task,3,75,2,3,5,True,False,False
YARN-10421,Sub-task,5,157,2,4,5,True,False,False
YARN-10406,New Feature,1,96,2,4,5,True,True,False
YARN-10389,Improvement,9,39,2,0,-1,True,False,False
YARN-10384,Improvement,3,42,0,2,0,True,False,False
YARN-10376,Sub-task,6,41,0,4,-1,True,False,False
YARN-10375,Sub-task,3,34,0,4,-1,True,False,False
YARN-10374,Sub-task,6,30,0,4,-1,True,False,False
YARN-10370,New Feature,6,41,0,4,0,True,False,False
YARN-10043,Sub-task,22,14,2,2,-1,False,True,False
YARN-10352,Sub-task,26,85,0,1,9,True,False,False
YARN-10335,New Feature,8,24,1,2,0,True,True,False
YARN-10333,Improvement,4,43,2,2,-1,True,False,False
YARN-10323,Improvement,2,59,2,2,-1,True,True,False
YARN-10311,Bug,16,20,2,3,4,True,False,False
YARN-10304,Sub-task,16,42,2,3,5,True,False,False
YARN-10292,Sub-task,8,26,2,2,-1,True,False,False
YARN-10281,Task,2,27,2,3,-1,True,False,False
YARN-10276,Task,1,27,2,2,-1,False,True,False
YARN-10246,Improvement,3,29,2,0,3,True,False,False
YARN-10238,Improvement,0,43,0,2,0,True,True,False
YARN-10229,Sub-task,30,82,2,4,3,True,False,False
YARN-10216,New Feature,0,58,2,4,1,True,False,False
YARN-10028,Sub-task,7,24,2,4,5,True,False,False
YARN-10214,Improvement,0,19,0,2,-1,True,False,False
YARN-10181,Sub-task,6,16,1,4,8,True,False,False
YARN-10162,Improvement,0,38,0,4,0,True,False,False
YARN-10126,Sub-task,0,25,0,2,-1,True,False,False
YARN-10114,Sub-task,0,26,2,4,5,True,False,False
YARN-10101,Sub-task,20,24,2,4,5,True,False,False
YARN-10100,Improvement,0,33,0,4,0,True,False,False
YARN-10099,Sub-task,2,122,0,2,0,True,False,False
YARN-10096,Improvement,0,5,2,4,3,True,False,False
YARN-10094,Improvement,2,19,1,0,-1,False,True,False
YARN-10079,New Feature,0,15,1,0,0,False,True,False
YARN-10062,Improvement,0,25,2,3,1,True,False,False
YARN-10039,Improvement,5,15,0,4,-1,True,False,False
YARN-10032,Sub-task,3,46,2,4,5,True,False,False
YARN-10031,Sub-task,19,44,2,4,5,True,True,False
YARN-10022,Sub-task,14,18,2,3,-1,True,False,False
YARN-9927,Sub-task,20,60,0,2,-1,True,True,False
YARN-9936,Sub-task,6,75,1,2,0,True,False,False
YARN-9926,Improvement,0,55,0,2,-1,True,True,False
YARN-9923,New Feature,27,105,1,1,-1,True,False,False
YARN-9916,Improvement,1,49,0,2,-1,True,True,False
YARN-9904,Sub-task,1,46,1,2,0,True,False,False
YARN-9899,Sub-task,13,88,2,4,-1,True,False,False
YARN-9897,Improvement,16,106,1,0,-1,True,False,True
YARN-9879,Sub-task,51,22,0,2,0,True,False,False
YARN-9848,Bug,15,27,1,1,4,False,True,False
YARN-9809,Bug,51,24,0,1,-1,True,False,False
YARN-9805,Improvement,4,24,2,4,-1,True,True,False
YARN-9748,Improvement,9,13,2,4,1,True,False,False
YARN-9726,Improvement,0,45,1,2,5,True,False,False
YARN-9802,New Feature,1,15,1,0,-1,True,False,False
YARN-9768,Improvement,46,45,0,3,-1,True,False,False
YARN-9761,New Feature,14,22,0,2,-1,True,False,False
YARN-9760,New Feature,13,45,0,2,-1,True,False,False
YARN-9746,Bug,0,66,2,2,4,True,False,False
YARN-9754,Sub-task,6,24,0,2,0,True,False,False
YARN-9753,Bug,1,87,1,2,0,True,True,False
YARN-9737,Bug,1,58,1,2,0,False,True,False
YARN-9730,Task,13,107,0,2,8,True,True,False
YARN-9698,Improvement,15,45,2,2,-1,True,False,False
YARN-9697,Sub-task,17,59,0,1,0,False,True,False
YARN-9686,Bug,1,96,1,2,-1,False,True,False
YARN-9671,Improvement,4,46,1,2,0,False,True,False
YARN-9669,New Feature,0,194,1,0,2,True,False,False
YARN-9664,Sub-task,13,26,1,2,-1,False,True,False
YARN-9663,Bug,4,28,2,2,3,True,False,False
YARN-9656,Improvement,5,67,1,2,-1,True,True,False
YARN-9652,Improvement,2,38,2,4,0,True,False,False
YARN-9634,Improvement,6,75,2,2,5,True,False,False
YARN-9633,Improvement,3,36,2,4,-1,True,False,False
YARN-9618,Sub-task,24,49,0,2,-1,True,True,False
YARN-9609,Bug,2,45,2,4,5,True,False,False
YARN-9607,Sub-task,13,67,2,2,5,True,False,False
YARN-9603,New Feature,0,53,0,2,0,True,False,False
YARN-9577,Improvement,0,24,2,4,3,True,False,False
YARN-9555,Bug,6,41,1,4,4,True,False,False
YARN-9528,Bug,1,14,2,3,3,True,False,False
YARN-9439,Sub-task,12,13,1,2,-1,True,True,False
YARN-9499,Sub-task,0,51,1,0,6,True,True,False
YARN-9477,Sub-task,17,35,2,3,-1,True,False,True
YARN-9473,New Feature,1,64,1,0,-1,True,False,True
YARN-9472,Sub-task,5,16,0,2,0,True,False,False
YARN-9443,New Feature,4,29,2,1,1,False,True,False
YARN-9421,New Feature,5,231,1,2,0,True,False,False
YARN-9416,Improvement,1,29,0,4,0,True,False,False
YARN-9414,New Feature,7,36,1,0,6,True,True,False
YARN-9378,Sub-task,4,68,1,0,2,True,False,False
YARN-9366,Improvement,3,39,2,3,1,True,False,False
YARN-9346,Bug,0,27,2,4,0,False,True,True
YARN-9345,Improvement,0,52,0,1,7,True,True,False
YARN-9313,Sub-task,11,13,1,2,-1,True,True,False
YARN-9298,Improvement,15,15,0,4,0,True,False,False
YARN-9292,Sub-task,22,121,1,0,2,True,False,False
YARN-9287,Improvement,8,22,2,2,-1,True,True,False
YARN-9276,Sub-task,0,34,1,2,-1,False,True,False
YARN-9249,Sub-task,1,46,1,0,2,True,False,False
YARN-9230,Sub-task,4,23,2,0,2,True,False,True
YARN-9228,New Feature,2,61,1,0,2,True,False,False
YARN-9200,Improvement,6,86,1,2,0,True,False,False
YARN-9174,Sub-task,9,27,1,0,-1,True,False,False
YARN-9150,Improvement,17,37,2,4,1,True,False,False
YARN-9146,Sub-task,6,50,2,4,4,True,False,False
YARN-9145,Improvement,2,17,2,4,-1,True,False,False
YARN-9116,Sub-task,38,82,0,2,0,True,False,False
YARN-9098,Improvement,15,116,2,3,-1,True,False,False
YARN-9086,Sub-task,6,30,1,0,-1,True,False,False
YARN-9059,Sub-task,0,15,1,1,-1,True,False,False
YARN-9060,Sub-task,21,46,1,0,-1,True,False,True
YARN-9056,Bug,5,34,2,0,4,True,False,False
YARN-9055,Sub-task,5,93,0,2,0,True,False,False
YARN-9050,Improvement,19,212,1,2,0,True,True,False
YARN-9045,Improvement,0,68,1,2,-1,True,False,False
YARN-9038,Sub-task,13,23,1,0,2,True,False,False
